place_id,title,rating,reviews,price,categories,link
wEYj3B_EH6JS6DbfmZQudw,Twenty Seven Steps,4.8,48,$$,Modern European,https://www.yelp.com/biz/twenty-seven-steps-christchurch?osq=Restaurant
twenty-seven-steps-christchurch,Twenty Seven Steps,4.8,48,$$,Modern European,https://www.yelp.com/biz/twenty-seven-steps-christchurch?osq=Restaurant
5ZOai8-HCajxJ4gnjqsAdw,OGB,4.9,9,,"Bars, New Zealand",https://www.yelp.com/biz/ogb-christchurch?osq=Restaurant
ogb-christchurch,OGB,4.9,9,,"Bars, New Zealand",https://www.yelp.com/biz/ogb-christchurch?osq=Restaurant
iL_451H-5M9tmaAsFqKZrw,Orange House,5.0,2,,Chinese,https://www.yelp.com/biz/orange-house-christchurch?osq=Restaurant
orange-house-christchurch,Orange House,5.0,2,,Chinese,https://www.yelp.com/biz/orange-house-christchurch?osq=Restaurant
FisqIWxJhevSzft-Vt1LLg,The Camden Restaurant & Bar,5.0,1,,"New Zealand, Bars",https://www.yelp.com/biz/the-camden-restaurant-and-bar-christchurch?osq=Restaurant
the-camden-restaurant-and-bar-christchurch,The Camden Restaurant & Bar,5.0,1,,"New Zealand, Bars",https://www.yelp.com/biz/the-camden-restaurant-and-bar-christchurch?osq=Restaurant
Busy8uaGSr4xVTDK64KCcg,5th Street,5.0,6,,"Wine Bars, Tapas/Small Plates, Cocktail Bars",https://www.yelp.com/biz/5th-street-christchurch?osq=Restaurant
5th-street-christchurch,5th Street,5.0,6,,"Wine Bars, Tapas/Small Plates, Cocktail Bars",https://www.yelp.com/biz/5th-street-christchurch?osq=Restaurant
Vzr1B2n54dN6w54sPCy27w,Unknown Chapter,4.9,13,$$,"Coffee Roasteries, Breakfast & Brunch",https://www.yelp.com/biz/unknown-chapter-christchurch?osq=Restaurant
unknown-chapter-christchurch,Unknown Chapter,4.9,13,$$,"Coffee Roasteries, Breakfast & Brunch",https://www.yelp.com/biz/unknown-chapter-christchurch?osq=Restaurant
qEK1gK9VXEG7H3b4EzDDiQ,King of Snake,4.0,48,$$$,"Asian Fusion, Cocktail Bars, Thai",https://www.yelp.com/biz/king-of-snake-christchurch?osq=Restaurant
king-of-snake-christchurch,King of Snake,4.0,48,$$$,"Asian Fusion, Cocktail Bars, Thai",https://www.yelp.com/biz/king-of-snake-christchurch?osq=Restaurant
I9vSaV6bo5Ip-Bzgrbs42g,Fiddlesticks,4.0,35,$$$,"Bistros, Gastropubs",https://www.yelp.com/biz/fiddlesticks-christchurch?osq=Restaurant
